[    0]    saccade ->   fixation (classify:20)
[    2]    saccade ->    pursuit (ibdt:108)
[    3]    saccade ->    pursuit (ibdt:108)
[    4]    saccade ->    pursuit (ibdt:108)
[    5]    saccade ->    pursuit (ibdt:108)
[    6]    saccade ->    pursuit (ibdt:108)
[    7]    saccade ->    pursuit (ibdt:108)
[    8]    saccade ->    pursuit (ibdt:108)
[    9]    saccade ->    pursuit (ibdt:108)
[   10]    saccade ->    pursuit (ibdt:108)
[   11]    saccade ->    pursuit (ibdt:108)
[   12]    saccade ->    pursuit (ibdt:108)
[   13]   fixation ->    pursuit (ibdt:108)
[   14]   fixation ->    pursuit (ibdt:108)
[   56]   fixation ->    pursuit (ibdt:108)
[   58]    saccade ->   fixation (ibdt:108)
[   59]    saccade ->    pursuit (ibdt:108)
[   60]    saccade ->    pursuit (ibdt:108)
[   61]    saccade ->    pursuit (ibdt:108)
[   62]    saccade ->    pursuit (ibdt:108)
[   63]    saccade ->   fixation (ibdt:108)
[   64]    saccade ->   fixation (ibdt:108)
[  106]    saccade ->    pursuit (ibdt:108)
[  107]    saccade ->    pursuit (ibdt:108)
[  108]    saccade ->    pursuit (ibdt:108)
[  109]    saccade ->    pursuit (ibdt:108)
[  110]    saccade ->    pursuit (ibdt:108)
[  111]    saccade ->   fixation (ibdt:108)
[  165]    saccade ->   fixation (ibdt:108)
[  166]    saccade ->    pursuit (ibdt:108)
[  167]    saccade ->    pursuit (ibdt:108)
[  168]    saccade ->    pursuit (ibdt:108)
[  169]    saccade ->    pursuit (ibdt:108)
[  170]    saccade ->    pursuit (ibdt:108)
[  171]    saccade ->   fixation (ibdt:108)
[  230]    saccade ->    pursuit (ibdt:108)
[  231]    saccade ->    pursuit (ibdt:108)
[  232]    saccade ->    pursuit (ibdt:108)
[  233]    saccade ->    pursuit (ibdt:108)
[  234]    saccade ->    pursuit (ibdt:108)
[  235]    saccade ->    pursuit (ibdt:108)
[  236]    saccade ->    pursuit (ibdt:108)
[  237]    saccade ->   fixation (ibdt:108)
[  238]    saccade ->   fixation (ibdt:108)
[  270]    saccade ->   fixation (ibdt:108)
[  271]    saccade ->   fixation (ibdt:108)
[  272]    saccade ->    pursuit (ibdt:108)
[  273]    saccade ->    pursuit (ibdt:108)
[  274]    saccade ->    pursuit (ibdt:108)
[  275]    saccade ->   fixation (ibdt:108)
[  276]    saccade ->    pursuit (ibdt:108)
[  277]    saccade ->   fixation (ibdt:108)
[  442]    saccade ->   fixation (ibdt:108)
[  443]    saccade ->    pursuit (ibdt:108)
[  444]    saccade ->    pursuit (ibdt:108)
[  445]    saccade ->    pursuit (ibdt:108)
[  446]    saccade ->    pursuit (ibdt:108)
[  447]    saccade ->    pursuit (ibdt:108)
[  448]    saccade ->    pursuit (ibdt:108)
[  449]    saccade ->    pursuit (ibdt:108)
[  450]    saccade ->    pursuit (ibdt:108)
[  451]    saccade ->    pursuit (ibdt:108)
[  452]    saccade ->    pursuit (ibdt:108)
[  453]    saccade ->   fixation (ibdt:108)
[  454]    saccade ->   fixation (ibdt:108)
[  495]    saccade ->    pursuit (ibdt:108)
[  496]    saccade ->    pursuit (ibdt:108)
[  497]    saccade ->    pursuit (ibdt:108)
[  498]    saccade ->    pursuit (ibdt:108)
[  499]    saccade ->    pursuit (ibdt:108)
[  500]    saccade ->    pursuit (ibdt:108)
[  501]    saccade ->    pursuit (ibdt:108)
[  502]    saccade ->    pursuit (ibdt:108)
[  503]    saccade ->    pursuit (ibdt:108)
[  504]    saccade ->   fixation (ibdt:108)
[  505]    saccade ->   fixation (ibdt:108)
[  506]    saccade ->   fixation (ibdt:108)
[  508]   fixation ->    pursuit (ibdt:108)
[  546]    saccade ->   fixation (ibdt:108)
[  547]    saccade ->    pursuit (ibdt:108)
[  548]    saccade ->    pursuit (ibdt:108)
[  549]    saccade ->    pursuit (ibdt:108)
[  550]    saccade ->    pursuit (ibdt:108)
[  551]    saccade ->   fixation (ibdt:108)
[  552]    saccade ->   fixation (ibdt:108)
[  614]    saccade ->   fixation (ibdt:108)
[  615]    saccade ->    pursuit (ibdt:108)
[  616]    saccade ->    pursuit (ibdt:108)
[  617]    saccade ->    pursuit (ibdt:108)
[  618]    saccade ->    pursuit (ibdt:108)
[  619]    saccade ->    pursuit (ibdt:108)
[  620]    saccade ->    pursuit (ibdt:108)
[  621]    saccade ->    pursuit (ibdt:108)
[  622]    saccade ->   fixation (ibdt:108)
[  623]    saccade ->   fixation (ibdt:108)
[  664]    saccade ->   fixation (ibdt:108)
[  665]    saccade ->    pursuit (ibdt:108)
[  666]    saccade ->    pursuit (ibdt:108)
[  667]    saccade ->    pursuit (ibdt:108)
[  668]    saccade ->    pursuit (ibdt:108)
[  669]    saccade ->    pursuit (ibdt:108)
[  670]    saccade ->    pursuit (ibdt:108)
[  671]    saccade ->   fixation (ibdt:108)
[  672]    saccade ->    pursuit (ibdt:108)
[  673]    saccade ->    pursuit (ibdt:108)
[  742]    saccade ->   fixation (ibdt:108)
[  743]    saccade ->    pursuit (ibdt:108)
[  744]    saccade ->    pursuit (ibdt:108)
[  745]    saccade ->    pursuit (ibdt:108)
[  746]    saccade ->    pursuit (ibdt:108)
[  747]    saccade ->    pursuit (ibdt:108)
[  748]    saccade ->   fixation (ibdt:108)
[  749]    saccade ->   fixation (ibdt:108)
[  750]    saccade ->   fixation (ibdt:108)
[  801]    saccade ->   fixation (ibdt:108)
[  802]    saccade ->    pursuit (ibdt:108)
[  803]    saccade ->    pursuit (ibdt:108)
[  804]    saccade ->    pursuit (ibdt:108)
[  805]    saccade ->    pursuit (ibdt:108)
[  806]    saccade ->    pursuit (ibdt:108)
[  807]    saccade ->    pursuit (ibdt:108)
[  808]    saccade ->   fixation (ibdt:108)
[  809]    saccade ->   fixation (ibdt:108)
[  810]   fixation ->    pursuit (ibdt:108)
[  812]   fixation ->    pursuit (ibdt:108)
[  825]   fixation ->    pursuit (ibdt:108)
[  826]   fixation ->    pursuit (ibdt:108)
[  827]   fixation ->    pursuit (ibdt:108)
[  828]   fixation ->    pursuit (ibdt:108)
[  849]   fixation ->    pursuit (ibdt:108)
[  850]   fixation ->    pursuit (ibdt:108)
[  851]   fixation ->    pursuit (ibdt:108)
[  852]   fixation ->    pursuit (ibdt:108)
[  853]   fixation ->    pursuit (ibdt:108)
[  854]   fixation ->    pursuit (ibdt:108)
[  855]   fixation ->    pursuit (ibdt:108)
[  856]   fixation ->    pursuit (ibdt:108)
[  857]   fixation ->    pursuit (ibdt:108)
[  858]   fixation ->    pursuit (ibdt:108)
[  859]   fixation ->    pursuit (ibdt:108)
[  860]   fixation ->    pursuit (ibdt:108)
[  861]   fixation ->    pursuit (ibdt:108)
[  862]   fixation ->    pursuit (ibdt:108)
