[   66]   fixation ->    saccade (ibdt:108)
[  111]    saccade ->   fixation (ibdt:108)
[  112]    saccade ->   fixation (ibdt:108)
[  115]    saccade ->   fixation (ibdt:108)
[  116]    saccade ->   fixation (ibdt:108)
[  117]    saccade ->   fixation (ibdt:108)
[  118]    saccade ->   fixation (ibdt:108)
[  133]   fixation ->    pursuit (ibdt:108)
[  134]   fixation ->    pursuit (ibdt:108)
[  135]   fixation ->    pursuit (ibdt:108)
[  136]   fixation ->    pursuit (ibdt:108)
[  137]   fixation ->    pursuit (ibdt:108)
[  138]   fixation ->    pursuit (ibdt:108)
[  139]   fixation ->    pursuit (ibdt:108)
[  140]   fixation ->    pursuit (ibdt:108)
[  141]   fixation ->    pursuit (ibdt:108)
[  142]   fixation ->    pursuit (ibdt:108)
[  143]   fixation ->    pursuit (ibdt:108)
[  144]   fixation ->    pursuit (ibdt:108)
[  145]   fixation ->    pursuit (ibdt:108)
[  146]   fixation ->    pursuit (ibdt:108)
[  147]   fixation ->    pursuit (ibdt:108)
[  148]   fixation ->    pursuit (ibdt:108)
[  149]   fixation ->    pursuit (ibdt:108)
[  150]   fixation ->    pursuit (ibdt:108)
[  151]   fixation ->    pursuit (ibdt:108)
[  152]   fixation ->    pursuit (ibdt:108)
[  153]   fixation ->    pursuit (ibdt:108)
[  154]   fixation ->    pursuit (ibdt:108)
[  155]   fixation ->    pursuit (ibdt:108)
[  156]   fixation ->    pursuit (ibdt:108)
[  157]   fixation ->    pursuit (ibdt:108)
[  158]   fixation ->    pursuit (ibdt:108)
[  159]   fixation ->    pursuit (ibdt:108)
[  160]   fixation ->    pursuit (ibdt:108)
[  161]   fixation ->    pursuit (ibdt:108)
[  162]   fixation ->    pursuit (ibdt:108)
[  163]   fixation ->    pursuit (ibdt:108)
[  217]    saccade ->   fixation (ibdt:108)
[  218]    saccade ->   fixation (ibdt:108)
[  222]    saccade ->   fixation (ibdt:108)
[  223]    saccade ->   fixation (ibdt:108)
[  224]    saccade ->   fixation (ibdt:108)
[  225]    saccade ->   fixation (ibdt:108)
[  226]    saccade ->   fixation (ibdt:108)
[  227]    saccade ->   fixation (ibdt:108)
[  228]    saccade ->   fixation (ibdt:108)
[  298]    saccade ->   fixation (ibdt:108)
[  299]    saccade ->   fixation (ibdt:108)
[  304]    saccade ->   fixation (ibdt:108)
[  305]    saccade ->   fixation (ibdt:108)
[  341]    saccade ->   fixation (ibdt:108)
[  342]    saccade ->   fixation (ibdt:108)
[  343]    saccade ->   fixation (ibdt:108)
[  344]    saccade ->   fixation (ibdt:108)
[  345]    saccade ->   fixation (ibdt:108)
[  346]    saccade ->   fixation (ibdt:108)
[  347]    saccade ->   fixation (ibdt:108)
[  348]    saccade ->   fixation (ibdt:108)
[  423]    saccade ->   fixation (ibdt:108)
[  433]    saccade ->   fixation (ibdt:108)
[  434]    saccade ->   fixation (ibdt:108)
[  435]    saccade ->   fixation (ibdt:108)
[  436]    saccade ->   fixation (ibdt:108)
[  437]    saccade ->   fixation (ibdt:108)
[  439]    saccade ->   fixation (ibdt:108)
[  440]    saccade ->   fixation (ibdt:108)
[  441]    saccade ->   fixation (ibdt:108)
[  462]   fixation ->    pursuit (ibdt:108)
[  463]   fixation ->    pursuit (ibdt:108)
[  464]   fixation ->    pursuit (ibdt:108)
[  465]   fixation ->    pursuit (ibdt:108)
[  466]   fixation ->    pursuit (ibdt:108)
[  467]   fixation ->    pursuit (ibdt:108)
[  468]   fixation ->    pursuit (ibdt:108)
[  469]   fixation ->    pursuit (ibdt:108)
[  470]   fixation ->    pursuit (ibdt:108)
[  471]   fixation ->    pursuit (ibdt:108)
[  472]   fixation ->    pursuit (ibdt:108)
[  473]   fixation ->    pursuit (ibdt:108)
[  474]   fixation ->    pursuit (ibdt:108)
[  475]   fixation ->    pursuit (ibdt:108)
[  476]   fixation ->    pursuit (ibdt:108)
[  477]   fixation ->    pursuit (ibdt:108)
[  478]   fixation ->    pursuit (ibdt:108)
[  479]   fixation ->    pursuit (ibdt:108)
[  480]   fixation ->    pursuit (ibdt:108)
[  481]   fixation ->    pursuit (ibdt:108)
[  482]   fixation ->    pursuit (ibdt:108)
[  483]   fixation ->    pursuit (ibdt:108)
[  484]    saccade ->    pursuit (ibdt:108)
[  487]    saccade ->    pursuit (ibdt:108)
[  488]    saccade ->    pursuit (ibdt:108)
[  489]    saccade ->    pursuit (ibdt:108)
[  490]   fixation ->    pursuit (ibdt:108)
[  491]   fixation ->    pursuit (ibdt:108)
[  492]   fixation ->    pursuit (ibdt:108)
[  493]   fixation ->    pursuit (ibdt:108)
[  494]   fixation ->    pursuit (ibdt:108)
[  495]   fixation ->    pursuit (ibdt:108)
[  496]   fixation ->    pursuit (ibdt:108)
[  497]   fixation ->    pursuit (ibdt:108)
[  498]   fixation ->    pursuit (ibdt:108)
[  499]   fixation ->    pursuit (ibdt:108)
[  539]    saccade ->   fixation (ibdt:108)
[  540]    saccade ->   fixation (ibdt:108)
[  543]    saccade ->   fixation (ibdt:108)
[  544]    saccade ->   fixation (ibdt:108)
[  580]    saccade ->   fixation (ibdt:108)
[  589]    saccade ->   fixation (ibdt:108)
[  590]    saccade ->   fixation (ibdt:108)
[  591]    saccade ->   fixation (ibdt:108)
[  592]    saccade ->   fixation (ibdt:108)
[  593]    saccade ->   fixation (ibdt:108)
[  595]    saccade ->   fixation (ibdt:108)
[  596]    saccade ->   fixation (ibdt:108)
[  597]    saccade ->   fixation (ibdt:108)
[  618]   fixation ->    pursuit (ibdt:108)
[  619]   fixation ->    pursuit (ibdt:108)
[  620]   fixation ->    pursuit (ibdt:108)
[  621]   fixation ->    pursuit (ibdt:108)
[  622]   fixation ->    pursuit (ibdt:108)
[  623]   fixation ->    pursuit (ibdt:108)
