[    0]    saccade ->   fixation (classify:20)
[    1]    saccade ->   fixation (ibdt:108)
[    2]    saccade ->   fixation (ibdt:108)
[    3]    saccade ->   fixation (ibdt:108)
[    4]    saccade ->   fixation (ibdt:108)
[   12]    saccade ->   fixation (ibdt:108)
[   13]    saccade ->   fixation (ibdt:108)
[   71]    saccade ->   fixation (ibdt:108)
[   80]    saccade ->   fixation (ibdt:108)
[   81]    saccade ->   fixation (ibdt:108)
[  173]    saccade ->   fixation (ibdt:108)
[  178]    saccade ->   fixation (ibdt:108)
[  179]    saccade ->   fixation (ibdt:108)
[  180]    saccade ->   fixation (ibdt:108)
[  181]    saccade ->   fixation (ibdt:108)
[  182]    pursuit ->   fixation (ibdt:108)
[  183]    pursuit ->   fixation (ibdt:108)
[  184]    pursuit ->   fixation (ibdt:108)
[  185]    pursuit ->   fixation (ibdt:108)
[  186]    pursuit ->   fixation (ibdt:108)
[  187]    pursuit ->   fixation (ibdt:108)
[  188]    pursuit ->   fixation (ibdt:108)
[  189]    pursuit ->   fixation (ibdt:108)
[  190]    pursuit ->   fixation (ibdt:108)
[  191]    pursuit ->   fixation (ibdt:108)
[  192]    pursuit ->   fixation (ibdt:108)
[  193]    pursuit ->   fixation (ibdt:108)
[  194]    pursuit ->   fixation (ibdt:108)
[  195]    pursuit ->   fixation (ibdt:108)
[  196]    pursuit ->   fixation (ibdt:108)
[  197]    pursuit ->   fixation (ibdt:108)
[  198]    pursuit ->   fixation (ibdt:108)
[  199]    pursuit ->   fixation (ibdt:108)
[  200]    pursuit ->   fixation (ibdt:108)
[  201]    pursuit ->   fixation (ibdt:108)
[  202]    pursuit ->   fixation (ibdt:108)
[  203]    pursuit ->   fixation (ibdt:108)
[  204]    pursuit ->   fixation (ibdt:108)
[  205]    pursuit ->   fixation (ibdt:108)
[  206]    pursuit ->   fixation (ibdt:108)
[  207]    pursuit ->   fixation (ibdt:108)
[  208]    pursuit ->   fixation (ibdt:108)
[  209]    pursuit ->   fixation (ibdt:108)
