[    0]    saccade ->   fixation (classify:20)
[    1]    saccade ->   fixation (ibdt:108)
[    2]    saccade ->   fixation (ibdt:108)
[    3]    saccade ->   fixation (ibdt:108)
[    4]    saccade ->   fixation (ibdt:108)
[    5]    saccade ->   fixation (ibdt:108)
[    6]    saccade ->   fixation (ibdt:108)
[    7]    saccade ->   fixation (ibdt:108)
[    8]    saccade ->   fixation (ibdt:108)
[    9]    saccade ->   fixation (ibdt:108)
[   10]    saccade ->   fixation (ibdt:108)
[   14]    saccade ->   fixation (ibdt:108)
[   16]    saccade ->   fixation (ibdt:108)
[   35]   fixation ->    pursuit (ibdt:108)
[   36]   fixation ->    pursuit (ibdt:108)
[   37]   fixation ->    pursuit (ibdt:108)
[   38]   fixation ->    pursuit (ibdt:108)
[   39]   fixation ->    pursuit (ibdt:108)
[   40]   fixation ->    pursuit (ibdt:108)
[   41]   fixation ->    pursuit (ibdt:108)
[   42]   fixation ->    pursuit (ibdt:108)
[   43]   fixation ->    pursuit (ibdt:108)
[   44]   fixation ->    pursuit (ibdt:108)
[   45]   fixation ->    pursuit (ibdt:108)
[   46]   fixation ->    pursuit (ibdt:108)
[   47]   fixation ->    pursuit (ibdt:108)
[   48]   fixation ->    pursuit (ibdt:108)
[   49]   fixation ->    pursuit (ibdt:108)
[   50]   fixation ->    pursuit (ibdt:108)
[   51]   fixation ->    pursuit (ibdt:108)
[   52]   fixation ->    pursuit (ibdt:108)
[   53]   fixation ->    pursuit (ibdt:108)
[   54]   fixation ->    pursuit (ibdt:108)
[   55]   fixation ->    pursuit (ibdt:108)
[   56]   fixation ->    pursuit (ibdt:108)
[   57]   fixation ->    pursuit (ibdt:108)
[   58]   fixation ->    pursuit (ibdt:108)
[   59]   fixation ->    pursuit (ibdt:108)
[   60]   fixation ->    pursuit (ibdt:108)
[   61]   fixation ->    pursuit (ibdt:108)
[   62]   fixation ->    pursuit (ibdt:108)
[   63]   fixation ->    pursuit (ibdt:108)
[   64]   fixation ->    pursuit (ibdt:108)
